iter	Passed	Remaining
0	230	45779
1	426	42182
2	552	36268
3	691	33886
4	743	29004
5	818	26472
6	868	23938
7	919	22070
8	970	20587
9	1029	19558110	1084	18638111	1141	17876112	1210	17406113	1270	16877114	1337	16492115	1394	16033116	1461	15730117	1521	15383118	1575	15012119	1629	14663220	1688	14389221	1743	14105222	1806	13903223	1863	13666224	1912	13385225	1965	13151226	2010	12884227	2064	12679
28	2124	12525
29	2187	12393
30	2255	12293
31	2305	12103
32	2353	11911
33	2401	11724
34	2456	11582
35	2505	11415
36	2554	11253
37	2601	11091
38	2648	10931
39	2696	10784
40	2746	10649
41	2789	10494242	2849	10402
43	2901	10284444	2949	10145	45	2999	10041
46	3046	9917
47	3092	948	348	3140	949	349	3194	950	350	3243	951	351	3302	952	352	3375	953	353	3449	954	354	3499	955	355	3534	956	356	3568	857	357	3606	858	358	3655	859	359	3707	860	360	3757	861	361	3805	862	362	3848	863	363	3883	864	364	3928	865	365	3958	866	366	3989	767	467	4019	768	468	4050	769	469	4084	770	470	4120	771	471	4155	772	472	4190	773	473	4219	774	474	4247	775	475	4273	676	476	4303	677	477	4329	678	478	4357	679	479	4393	680	480	4418	681	481	4453	682	482	4481	683	483	4510	684	484	4538	685	485	4567	686	486	4597	587	487	4627	588	488	4661	589	489	4696	590	490	4729	591	491	4761	592	492	4790	593	493	4822	594	494	4854	595	495	4884	596	496	4915	597	497	4946	598	498	4975	599	499	5003	5100	100	5030	4101	101	5056	4102	102	5084	4103	103	5112	4104	104	5142	4652
105	5171	4585
106	5198	4518
107	5224	4450
108	5249	4382
109	5276	4317
110	5305	4254
111	5334	4191
112	5364	4129
113	5394	4069
114	5422	4008
115	5454	3950
116	5485	3891
117	5512	3831
118	5541	3771
119	5572	3715
120	5606	3660
121	5640	3606
122	5672	3550
123	5710	3499
124	5738	3442
125	5763	3384
126	5793	3329
127	5821	3274
128	5857	3224
129	5891	3172
130	5920	3118
131	5949	3064
132	5979	3012
133	6010	2960
134	6043	2909
135	6072	2857
136	6117	2812
137	6145	2761
138	6173	2709
139	6198	2656
140	6226	2605
141	6254	2554
142	6282	2504
143	6310	2454
144	6337	2404
145	6367	2355
146	6395	2305
147	6429	2259
148	6469	2214
149	6504	2168
150	6545	2124
151	6588	2080
152	6625	2035
153	6669	1992
154	6706	1947
155	6752	1904
156	6795	1861
157	6837	1817
158	6878	1773
159	6935	1733
160	6978	1690
161	7018	1646
162	7059	1602
163	7098	1558
164	7138	1514
165	7175	1469
166	7205	1423
167	7237	1378
168	7268	1333
169	7298	1288
170	7332	1243
171	7367	1199
172	7400	1154
173	7431	1110
174	7470	1067
175	7511	1024
176	7547	980
177	7585	937
178	7627	894
179	7664	851
180	7702	808
181	7743	765
182	7781	722
183	7828	680
184	7869	638
185	7909	595
186	7952	552
187	7993	510
188	8034	467
189	8071	424
190	8098	381
191	8129	338
192	8167	296
193	8207	253
194	8245	211
195	8283	169
196	8319	126
197	8354	84
198	8382	42
199	8403	0
